Board 0 Temperature: 28.00
Board 2 Temperature: 27.00
Board 4 Temperature: 23.00
Board 6 Temperature: 29.00
Board 8 Temperature: 28.00
 0  0 MB0A:		ON	500.00	0.00000		1
 0  1 MB0C_Dead:		OFF	0.04	0.00695		0
 0  2 MB0B:		ON	500.06	0.00490		1
 0  3 MB1A_Dead:		OFF	0.06	0.00465		0
 0  4 MB1B:		ON	500.09	0.00635		1
 0  5 MB1C:		ON	499.82	0.01195		1
 0  6 MB2A:		ON	499.89	0.00730		1
 0  7 MB2B:		ON	499.94	0.00530		1
 2  0 MB2C:		ON	499.69	-0.00055		1
 2  1 MB3A:		ON	499.82	0.00385		1
 2  2 MB3B:		ON	500.15	0.00345		1
 2  3 MB3C:		ON	499.84	0.00405		1
 2  4 MB4A:		ON	499.87	0.00455		1
 2  5 MB4B:		ON	499.82	0.00755		1
 2  6 MB4C:		ON	499.97	0.00655		1
 2  7 MB5A:		ON	500.07	0.00490		1
 4  0 MB5B:		ON	500.00	0.00000		1
 4  1 MB5C:		ON	499.50	0.00000		1
 4  2 S0-A:		ON	500.00	0.00000		1
 4  3 S0-B:		ON	499.50	0.00000		1
 4  4 S0-C:		ON	500.50	0.00000		1
 4  5 S0-D:		ON	499.50	0.00000		1
 4  6 S1-A:		ON	499.50	0.00000		1
 4  7 S1-B:		ON	500.00	0.00000		1
 4  8 S1-C:		ON	500.00	0.00000		1
 4  9 S1-D:		ON	500.00	0.00000		1
 6  0 QuadPOS1:		OFF	0.00	0.00270		0
 6  1 QuadPOS2:		OFF	0.00	0.00410		0
 6  2 QuadPOS3:		OFF	0.00	0.00670		0
 6  3 QuadPOS4:		OFF	0.00	0.00575		0
 6  4 P3POS1:		ON	4999.95	0.00750		1
 6  5 P3POS2:		ON	5000.20	0.00705		1
 6  6 P3POS3:		ON	5000.22	0.00740		1
 6  7 CHANNEL7:		OFF	0.00	0.00430		0
 8  0 S2-A:		ON	499.81	-0.00600		1
 8  1 S2-B:		ON	500.16	-0.00135		1
 8  2 S2-C:		ON	499.96	0.01500		1
 8  3 S2-D:		ON	499.96	0.00650		1
 8  4 S3-A:		ON	499.90	0.02855		1
 8  5 S3-B:		ON	500.00	0.00865		1
 8  6 S3-C:		ON	499.95	0.00180		1
 8  7 S3-D:		ON	499.87	0.02485		1
